© Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;
;;;;;;;;;;
Alphabetisches Verzeichnis der Wahlbewerber zur Bundestagswahl 2013;;;;;;;;;;
;;;;;;;;;;
Name, Vorname;Geburtsjahr;Beruf;Berufsschlüssel;Geschlecht;Partei;Land;Platz;Wahlkreis;"Gewählt: 1=über Wkr; 2=über LL";
Aae, Per Lennart;1940;Finanzpolitischer Berater;75;1;NPD;;;157;0;
Abed-Ali, Ali;1993;Schüler;94;1;Die PARTEI;BE;53;;0;
Abend, Klaus-Dieter;1946;Technischer Betriebswirt;78;1;FDP;;;22;0;
Ableiter, Claus;1963;Oberregierungsrat;76;1;FREIE WÄHLER;RP;14;207;0;
Abramowski, Ulrich Herbert;1956;Diplom-Volkswirt;88;1;AfD;NI;2;;0;
Abwander, Susanne Brigitte;1966;Heilpraktiker;85;2;DIE VIOLETTEN;BY;20;;0;
Acharki, Moussa;1975;Einzelhandelskaufmann;67;1;BIG;NW;2;;0;
Achatz, Markus Franz-Xaver;1981;Niederlassungsleiter;75;1;FREIE WÄHLER;BY;23;231;0;
Achenbach, Ulrich;1954;Angestellter;78;1;MLPD;NW;9;;0;
Ackermann, Jens;1975;Medizinpädagoge;87;1;FDP;ST;2;67;0;
Adam, Dr. Konrad;1942;Journalist;82;1;AfD;HE;1;176;0;
Adams, Heino;1942;Rentner;95;1;RENTNER;HH;8;;0;
Adams, Heinrich Martin;1955;Selbständiger Techniker;62;1;AfD;;;297;0;
Adamy, Wilfried;1963;Techniker;62;1;PIRATEN;;;119;0;
Aden, Eckhard;1967;Angestellter;78;1;NPD;;;50;0;
Adler, Annelies Brigitte;1952;Bäckerin;39;2;NPD;ST;6;;0;
Adler, Günter-Hans;1940;Rentner;95;1;NPD;;;3;0;
Adler, Otto Peter;1941;Rentner;95;1;NPD;HH;3;19;0;
Adomeit, Michael Harald;1957;Elektro-Meister;31;1;Anderer KWV;;;15;0;
Aggelidis, Michael;1962;Rechtsanwalt;81;1;DIE LINKE;;;90;0;
Ahlgrim, Brigitte Inge;1952;Sparkassenkauffrau;69;2;Anderer KWV;;;12;0;
Ahmed, Tanja Melanie Carolin;1971;Grafikerin, Tänzerin;83;2;DIE VIOLETTEN;BY;22;;0;
Aicher, Roland;1965;Maschinenbautechniker;62;1;REP;BY;43;;0;
Akbayir, Hamide;1959;Chemisch-technische Assistentin;62;2;DIE LINKE;;;101;0;
Aken van, Jan Paul;1961;Biologe;88;1;DIE LINKE;HH;1;19;2;
Akpolat, Mustafa;1964;Journalist;82;1;PIRATEN;HH;7;;0;
Albanesi, Stefan;1972;Versicherungskaufmann;69;1;DIE LINKE;;;256;0;
Albani, Stephan;1968;Diplom-Physiker;61;1;CDU;NI;5;27;2;
Albe, Gerald Hermann;1976;Diplom-Informatiker;77;1;PIRATEN;TH;4;194;0;
Albrecht, Frank;1967;Ministerialrat;76;1;FDP;;;116;0;
Albrecht, Frank;1972;Vertriebsführungskraft;75;1;PARTEI DER VERNUNFT;NW;4;;0;
Albrecht, Karolina;1982;Charakter-Schauspielerin;83;2;DIE VIOLETTEN;BY;12;;0;
Albrecht, Peter;1938;Pensionär;95;1;PARTEI DER VERNUNFT;NW;12;;0;
Albrecht, Prof. Erich Willy;1950;Diplom-Ingenieur;60;1;AfD;HE;18;;0;
Albsteiger, Katrin;1983;Diplom-Politologin;88;2;CSU;BY;30;;2;
Al-Dailami, Ali Abass Yahya;1981;Restaurantfachmann;91;1;DIE LINKE;HE;6;173;0;
Alkemper, Christian;1967;Diplom-Übersetzer;82;1;PIRATEN;BW;11;272;0;
Allwörden von, Moritz;1985;Sachbearbeiter bei einem Versicherungsmakler;78;1;PIRATEN;;;11;0;
Almonacid Lessmann, Alexander;1967;Selbstständig;99;1;PIRATEN;;;226;0;
