# (c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Die Wahlbewerberinnen und Wahlbewerber zum 19. Deutschen Bundestag (24. September 2017);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
# Codepage: UTF-8, Trennzeichen: Semikolon;;;;;;;;;;;;;;;;;;;;
# Stand: 4. September 2017 (2. Korrektur);;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;
Titel;Namenszusatz;Name;Vorname;Geschlecht;Geburtsjahr;Wohnort;Geburtsort;Beruf;Berufsschlüssel;Wahlkreis_Land;Wahlkreis_Nr;Wahlkreis_Bez;Wahlkreis_ParteiKurzBez;Wahlkreis_ParteiBez;Liste_Land;Liste_ParteiKurzBez;Liste_ParteiBez;Liste_Platz;Wiederkandidatur;"Gewählt: 1=über Wkr; 2=über LL"
;;Abaga Ayingono;Carlos;m;1953;Münster;Ebebiyin-Äquatorialguinea;Gastwirt;61;NW;129;Münster;EB: Abaga Ayingono;DIE STIMME DER STIMMENLOSEN;;;;;;0
;;Abdinghoff-Feldkemper;Olaf;m;1964;Wallenhorst;Braunschweig;Geschäftsführer;71;;;;;;NI;SPD;Sozialdemokratische Partei Deutschlands;33;;0
;;Abel;Valentin Christian;m;1991;Schöntal;Künzelsau;kfm. Angestellter;71;BW;268;Schwäbisch Hall – Hohenlohe;FDP;Freie Demokratische Partei;BW;FDP;Freie Demokratische Partei;23;;0
;;Abelmann;Jürgen;m;1958;Bassum;Kiel;Rentner;5;NI;33;Diepholz – Nienburg I;DIE LINKE;DIE LINKE;;;;;;0
Dr.;von;Abercron;Michael;m;1952;Elmshorn;Ehlerstorf;Dipl.-Agraringenieur / Angestellter ö. D. / Unternehmer;11;SH;7;Pinneberg;CDU;Christlich Demokratische Union Deutschlands;SH;CDU;Christlich Demokratische Union Deutschlands;10;;1
;;Abmayr;Ruth Maria;w;1968;Günzburg;Günzburg;Angestellte;71;BY;252;Augsburg-Stadt;FREIE WÄHLER;FREIE WÄHLER;BY;FREIE WÄHLER;FREIE WÄHLER;22;;0
;;Achelwilm;Doris Maria;w;1976;Bremen;Thuine;Angestellte;71;;;;;;HB;DIE LINKE;DIE LINKE;1;;2
;;Achenbach;Ulrich;m;1954;Bochum;Bochum;kfm. Angestellter;71;;;;;;NW;MLPD;Marxistisch-Leninistische Partei Deutschlands;19;;0
;;Achilles;Matthias;m;1991;Aachen;Stolberg;Student;4;NW;87;Aachen I;PIRATEN;Piratenpartei Deutschland;;;;;;0
;;Achtziger;Alina Christiane;w;1999;Bamberg;Bamberg;Schülerin;4;;;;;;BY;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;3;;0
